MODEL_TAG;Model;Modèle;Model;;Modelo;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
# Unit Model Names;;;;;;;;;;;;;;x
################################################;;;;;;;;;;;;;;x
AFG_light_armor_brigade_0;CV-33;CV-33;CV-33;;CV-33;;;;;;;;;x
AFG_light_armor_brigade_1;LT vs.35;LT vs.35;LT vs.  35;;LT vs.35;;;;;;;;;x
AFG_light_armor_brigade_2;BT-7;BT-7;BT-7;;BT-7;;;;;;;;;x
AFG_armor_brigade_0;T-18;T-18;T-18;;T-18;;;;;;;;;x
AFG_armor_brigade_1;T-28;T-28;T-28;;T-28;;;;;;;;;x
AFG_armor_brigade_2;BT-7M;BT-7M;BT-7M;;BT-7M;;;;;;;;;x
AFG_armor_brigade_3;T-34 m.41;T-34 m.41;T-34 m. 41;;T-34 m.41;;;;;;;;;x
AFG_armor_brigade_4;T-34 m.44;T-34 m.44;T-34 m. 44;;T-34 m.44;;;;;;;;;x
AFG_interceptor_0;Hawker Hind;Hawker Hind;Hawker Hind;;Hawker Hind;;;;;;;;;x
AFG_cas_0;Breda Ba.25;Breda Ba.25;Breda Ba. 25;;Breda Ba.25;;;;;;;;;x
ALB_light_armor_brigade_0;CV-35;CV-35;CV-35;;CV-35;;;;;;;;;x
ALB_light_armor_brigade_1;L.3/38;L.3/38;L. 3/38;;L.3/38;;;;;;;;;x
ALB_light_armor_brigade_2;L.6/40;L.6/40;L. 6/40;;L.6/40;;;;;;;;;x
ALB_armor_brigade_0;Fiat 2000;Fiat 2000;Fiat 2000;;Fiat 2.000;;;;;;;;;x
ALB_armor_brigade_1;M.11/39;M.11/39;M. 11/39;;M.11/39;;;;;;;;;x
ALB_armor_brigade_2;M.13/40;M.13/40;M. 13/40;;M.13/40;;;;;;;;;x
ALB_armor_brigade_3;M.15/42;M.15/42;M. 15/42;;M.15/42;;;;;;;;;x
ALB_armor_brigade_4;M.18/43 Sahariano;M.18/43 Sahariano;M. 18/43 Sahariano;;M.18/43 Sahariano;;;;;;;;;x
ARG_light_armor_brigade_0;M1A2;M1A2;M1A2;;M1A2;;;;;;;;;x
ARG_light_armor_brigade_1;L-60S;L-60S;L-60S;;L-60S;;;;;;;;;x
ARG_light_armor_brigade_2;LT vz. 38;LT vz. 38;LT vz.  38;;LT vz. 38;;;;;;;;;x
ARG_armor_brigade_0;Renault FT17;Renault FT17;Renault FT17;;Renault FT17;;;;;;;;;x
ARG_armor_brigade_1;T4E1;T4E1;T4E1;;T4E1;;;;;;;;;x
ARG_armor_brigade_2;Nahuel D.L.43;Nahuel D.L.43;Nahuel D. L. 43;;Nahuel D.L.43;;;;;;;;;x
ARG_armor_brigade_3;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;;M4A1 Sherman;;;;;;;;;x
ARG_armor_brigade_4;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;;M4/E8 Sherman;;;;;;;;;x
ARG_armor_brigade_5;M26 Pershing;M26 Pershing;M26 Pershing;;M26 Pershing;;;;;;;;;x
ARG_multi_role_3;FMA I.Ae.33 Pulqui II;FMA I.Ae.33 Pulqui II;FMA I. Ae. 33 Pulqui II;;FMA I.Ae.33 Pulqui II;;;;;;;;;x
ARG_interceptor_0;Curtiss Hawk III;Curtiss Hawk III;Curtiss Hawk III;;Curtiss Hawk III;;;;;;;;;x
ARG_interceptor_1;Curtiss Hawk 75H;Curtiss Hawk 75H;Curtiss Hawk 75H;;Curtiss Hawk 75H;;;;;;;;;x
ARG_interceptor_2;FMA I.Ae-22 DL;FMA I.Ae-22 DL;FMA I. Ae-22 DL;;FMA I.Ae-22 DL;;;;;;;;;x
ARG_interceptor_6;FMA I.Ae.27 Pulqui;FMA I.Ae.27 Pulqui;FMA I. Ae. 27 Pulqui;;FMA I.Ae.27 Pulqui II;;;;;;;;;x
ARG_naval_bomber_0;Consolidated P2Y-3A Ranger;P2Y-3A Ranger renforcé;Consolidated P2Y-3A Ranger;;Consolidated P2Y-3A Ranger;;;;;;;;;x
ARG_cas_0;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;FMA Ae-MB2 Bombi;;FMA Ae-MB2 Bombi;;;;;;;;;x
ARG_transport_plane_0;Douglas C-32;Douglas C-32;Douglas C-32;;Douglas C-32;;;;;;;;;x
ARG_battleship_0;Rivadavia-class;Classe Rivadavia;Rivadavia-Klasse;;Clase Rivadavia;;;;;;;;;x
ARG_light_cruiser_1;La Argentina-class;Classe La Argentina;La Argentina-Klasse;;Clase La Argentina;;;;;;;;;x
ARG_heavy_cruiser_0;Veinticinco de Mayo-class;Classe Veinticinco de Mayo;Veinticinco de Mayo-Klasse;;Clase Veinticinco de mayo;;;;;;;;;x
ARG_destroyer_0;Churucca-class;Classe Churucca;Churucca-Klasse;;Clase Churucca;;;;;;;;;x
ARG_destroyer_1;Buenos Aires-class;Classe Buenos Aires;Buenos Aires-Klasse;;Clase Buenos Aires;;;;;;;;;x
ARG_submarine_0;Santa Fe-class;Classe Santa Fe;Santa Fe-Klasse;;Clase Santa Fe;;;;;;;;;x
AST_light_armor_brigade_0;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;;Carden-Loyd M1933;;;;;;;;;x
AST_light_armor_brigade_1;Vickers Mk.VIc;Vickers Mk.VIc;Vickers Mk. VIc;;Vickers Mk. VIc;;;;;;;;;x
AST_light_armor_brigade_2;Stuart Mk.V;Stuart Mk.V;Stuart Mk. V;;Stuart Mk.V;;;;;;;;;x
AST_armor_brigade_0;Whippet;Whippet;Whippet;;Whippet;;;;;;;;;x
AST_armor_brigade_1;Cruiser Tank Mk.I A9;Char croiseur Mk.I A9;Cruiser Tank Mk. I A9;;Tanque crucero Mk.I A9;;;;;;;;;x
AST_armor_brigade_2;AC1 Sentinel;AC1 Sentinel;AC1 Sentinel;;AC1 Sentinel;;;;;;;;;x
AST_armor_brigade_3;AC4 Sentinel;AC4 Sentinel;AC4 Sentinel;;AC4 Sentinel;;;;;;;;;x
AST_armor_brigade_4;A34 Comet;A34 Comet;A34 Comet;;A34 Comet;;;;;;;;;x
AST_armor_brigade_5;Centurion Mk.I;Centurion Mk.I;Centurion Mk. I;;Centurion Mk.I;;;;;;;;;x
AST_armor_brigade_6;Centurion Mk.III;Centurion Mk.III;Centurion Mk. III;;Centurion Mk.III;;;;;;;;;x
AST_armor_brigade_7;Centurion Mk.V;Centurion Mk.V;Centurion Mk. V;;Centurion Mk.V;;;;;;;;;x
AST_multi_role_0;Curtiss Kittyhawk;Curtiss Kittyhawk;Curtiss Kittyhawk;;Curtiss Kittyhawk;;;;;;;;;x
AST_multi_role_1;Supermarine Spitfire Mk.IX;Supermarine Spitfire Mk.IX;Supermarine Spitfire Mk. IX;;Supermarine Spitfire Mk.IX;;;;;;;;;x
AST_multi_role_2;CAC CA-15 Kangaroo;CAC CA-15 Kangaroo;CAC CA-15 Kangaroo;;CAC CA-15 Kangaroo;;;;;;;;;x
AST_multi_role_3;Gloster Meteor Mk.III;Gloster Meteor Mk.III;Gloster Meteor Mk. III;;Gloster Meteor Mk.III;;;;;;;;;x
AST_multi_role_4;Gloster Meteor F.8;Gloster Meteor F.8;Gloster Meteor F. 8;;Gloster Meteor F.8;;;;;;;;;x
AST_interceptor_0;Hawker Demon;Hawker Demon;Hawker Demon;;Hawker Demon;;;;;;;;;x
AST_interceptor_1;Hawker Hurricane Mk.I;Hawker Hurricane Mk.I;Hawker Hurricane Mk. I;;Hawker Hurricane Mk.I;;;;;;;;;x
AST_interceptor_2;Hawker Hurricane Mk.II;Hawker Hurricane Mk.II;Hawker Hurricane Mk. II;;Hawker Hurricane Mk.II;;;;;;;;;x
AST_interceptor_3;CAC CA-12 Boomerang;CAC CA-12 Boomerang;CAC CA-12 Boomerang;;CAC CA-12 Boomerang;;;;;;;;;x
AST_interceptor_4;CAC CA-19 Boomerang;CAC CA-19 Boomerang;CAC CA-19 Boomerang;;CAC CA-19 Boomerang;;;;;;;;;x
AST_interceptor_5;Gloster Meteor Mk.I;Gloster Meteor Mk.I;Gloster Meteor Mk. I;;Gloster Meteor Mk.I;;;;;;;;;x
AST_interceptor_6;Commonwealth Sabre;Commonwealth Sabre;Commonwealth Sabre;;Commonwealth Sabre;;;;;;;;;x
AST_interceptor_7;Dassault Mirage III;Dassault Mirage III;Dassault Mirage III;;Dassault Mirage III;;;;;;;;;x
AST_rocket_interceptor_0;Hawker P.1052;Hawker P.1052;Hawker P. 1052;;Hawker P.1052;;;;;;;;;x
AST_strategic_bomber_0;Armstrong-Whitworth Whitley;Armstrong-Whitworth Whitley;Armstrong-Whitworth Whitley;;Armstrong-Whitworth Whitley;;;;;;;;;x
AST_strategic_bomber_1;Consolidated B-24 Liberator;B-24 Liberator renforcé;Consolidated B-24 Liberator;;Consolidated B-24 Liberator;;;;;;;;;x
AST_strategic_bomber_2;Avro Lancaster;Avro Lancaster;Avro Lancaster;;Avro Lancaster;;;;;;;;;x
AST_strategic_bomber_3;Vickers Valiant;Vickers Valiant;Vickers Valiant;;Vickers Valiant;;;;;;;;;x
AST_tactical_bomber_0;Bristol Beaufort;Bristol Beaufort;Bristol Beaufort;;Bristol Beaufort;;;;;;;;;x
AST_tactical_bomber_1;Handley Page Hampden;Handley Page Hampden;Handley Page Hampden;;Handley Page Hampden;;;;;;;;;x
AST_tactical_bomber_2;Vickers-Armstrong Wellington Mk.III;Vickers-Armstrong Wellington Mk.III;Vickers-Armstrong Wellington Mk. III;;Vickers-Armstrong Wellington Mk.III;;;;;;;;;x
AST_tactical_bomber_3;N.American Mitchell Mk.II;N.American Mitchell Mk.II;N. American Mitchell Mk. II;;N.American Mitchell Mk.II;;;;;;;;;x
AST_tactical_bomber_4;de Havilland Mosquito B.XVI;de Havilland Mosquito B.XVI;de Havilland Mosquito B. XVI;;de Havilland Mosquito B.XVI;;;;;;;;;x
AST_tactical_bomber_5;de Havilland Venom;de Havilland Venom;de Havilland Venom;;de Havilland Venom;;;;;;;;;x
AST_tactical_bomber_6;English Electric Canberra;English Electric Canberra;English Electric Canberra;;English Electric Canberra;;;;;;;;;x
AST_naval_bomber_0;Lockheed Hudson;Lockheed Hudson;Lockheed Hudson;;Lockheed Hudson;;;;;;;;;x
AST_naval_bomber_1;Lockheed Ventura;Lockheed Ventura;Lockheed Ventura;;Lockheed Ventura;;;;;;;;;x
AST_naval_bomber_2;CAC CA-11 Woomera;CAC CA-11 Woomera;CAC CA-11 Woomera;;CAC CA-11 Woomera;;;;;;;;;x
AST_naval_bomber_4;Lockheed P2V Neptune;Lockheed P2V Neptune;Lockheed P2V Neptune;;Lockheed P2V Neptune;;;;;;;;;x
AST_cas_0;CAC CA-10 Wirraway;CAC CA-10 Wirraway;CAC CA-10 Wirraway;;CAC CA-10 Wirraway;;;;;;;;;x
AST_cas_1;Vultee Vengeance;Vultee Vengeance;Vultee Vengeance;;Vultee Vengeance;;;;;;;;;x
AST_cas_2;Bristol Beaufighter;Bristol Beaufighter;Bristol Beaufighter;;Bristol Beaufighter;;;;;;;;;x
AST_transport_plane_0;Armstrong-Whitworth AW.41 Albermarle;Armstrong-Whitworth AW.41 Albermarle;Armstrong-Whitworth AW. 41 Albermarle;;Armstrong-Whitworth AW.41 Albermarle;;;;;;;;;x
AST_transport_plane_1;Douglas Dakota;Douglas Dakota;Douglas Dakota;;Douglas Dakota;;;;;;;;;x
AST_transport_plane_2;Avro 685 York;Avro 685 York;Avro 685 York;;Avro 685 York;;;;;;;;;x
AST_light_cruiser_0;Caledon-class;Classe Caledon;Caledon-Klasse;;Clase Caledon;;;;;;;;;x
AST_light_cruiser_1;Emerald-class;Classe Emerald;Emerald-Klasse;;Clase Emerald;;;;;;;;;x
AST_light_cruiser_2;Amphion-class;Classe Amphion;Amphion-Klasse;;Clase Amphion;;;;;;;;;x
AST_light_cruiser_3;Southampton-class;Classe Southampton;Southampton-Klasse;;Clase Southampton;;;;;;;;;x
AST_light_cruiser_4;Swiftsure-class;Classe Swiftsure;Swiftsure-Klasse;;Clase Swiftsure;;;;;;;;;x
AST_heavy_cruiser_1;Australia-class;Classe Australia;Australia-Klasse;;Clase Australia;;;;;;;;;x
AST_heavy_cruiser_2;Surrey-class;Classe Surrey;Surrey-Klasse;;Clase Surrey;;;;;;;;;x
AST_destroyer_0;V-class;Classe L;V-Klasse;;Clase V;;;;;;;;;x
AST_destroyer_1;A-class;Classe A;A-Klasse;;Clase A;;;;;;;;;x
AST_destroyer_2;Arunta-class;Classe Arunta;Arunta-Klasse;;Clase Arunta;;;;;;;;;x
AST_destroyer_3;Anzac-class;Classe Anzac;Anzac-Klasse;;Clase Anzac;;;;;;;;;x
AST_destroyer_4;Voyager-class;Classe Voyager;Voyager-Klasse;;Clase Voyager;;;;;;;;;x
AST_destroyer_5;Perth-class;Classe Perth;Perth-Klasse;;Clase Perth;;;;;;;;;x
AST_carrier_0;Hermes-class;Classe Hermes;Hermes-Klasse;;Clase Hermes;;;;;;;;;x
AST_carrier_1;Melbourne-class;Classe Melbourne;Melbourne-Klasse;;Clase Melbourne;;;;;;;;;x
AST_escort_carrier_0;Hermes-class;Classe Hermes;Hermes-Klasse;;Clase Hermes;;;;;;;;;x
AST_escort_carrier_1;Eagle-class;Classe Eagle;Eagle-Klasse;;Clase Eagle;;;;;;;;;x
AST_escort_carrier_2;Unicorn-class;Classe Unicorn;Unicorn-Klasse;;Clase Unicorn;;;;;;;;;x
AST_escort_carrier_3;Melbourne-class;Classe Melbourne;Melbourne-Klasse;;Clase Melbourne;;;;;;;;;x
AST_escort_carrier_4;Centaur-class;Classe Centaur;Centaur-Klasse;;Clase Centaur;;;;;;;;;x
AST_escort_carrier_5;Invincible-class;Classe Invincible;Invincible-Klasse;;Clase Invincible;;;;;;;;;x
AST_submarine_0;H-boat-class;Classe H-boat;H-Boat-Klasse;;Clase H-boat;;;;;;;;;x
AST_submarine_1;Swordfish-class;Classe Swordfish;Swordfish-Klasse;;Clase Swordfish;;;;;;;;;x
AST_submarine_2;Triton-class;Classe Triton;Triton-Klasse;;Clase Triton;;;;;;;;;x
AST_submarine_3;A-boat-class;Classe A-boat;A-Boat-Klasse;;Clase A-boat;;;;;;;;;x
AST_submarine_5;Oxley-class;Classe Oxley;Oxley-Klasse;;Clase Oxley;;;;;;;;;x
AUS_light_armor_brigade_0;CV-35;CV-35;CV-35;;CV-35;;;;;;;;;x
AUS_light_armor_brigade_1;LT vz. 35;LT vz. 35;LT vz.  35;;LT vz. 35;;;;;;;;;x
AUS_light_armor_brigade_2;Landsverk L-60;Landsverk L-60;Landsverk L-60;;Landsverk L-60;;;;;;;;;x
AUS_armor_brigade_0;Sturmpanzerwagen A7V;Sturmpanzerwagen A7V;Sturmpanzerwagen A7V;;Sturmpanzerwagen A7V;;;;;;;;;x
AUS_armor_brigade_1;Landsverk L-61;Landsverk L-61;Landsverk L-61;;Landsverk L-61;;;;;;;;;x
AUS_armor_brigade_2;Skoda SP-III;Skoda SP-III;Skoda SP-III;;Skoda SP-III;;;;;;;;;x
AUS_armor_brigade_3;PzKpfw.IV;PzKpfw.IV;PzKpfw. IV;;PzKpfw.IV;;;;;;;;;x
AUS_armor_brigade_4;PzKpfw.V Panther;PzKpfw.V Panther;PzKpfw. V Panther;;PzKpfw.V Panther;;;;;;;;;x
AUS_armor_brigade_5;PzKpfw.VF Panther II;PzKpfw.VF Panther II;PzKpfw. VF Panther II;;PzKpfw.VF Panther II;;;;;;;;;x
AUS_armor_brigade_6;E-50 Standardpanzer;E-50 Standardpanzer;E-50 Standardpanzer;;E-50 Standardpanzer;;;;;;;;;x
AUS_armor_brigade_7;SK105 Kurussier;SK105 Kurussier;SK105 Kürassier;;SK105 Kurussier;;;;;;;;;x
AUS_interceptor_0;Fiat CR.32 Freccia;Fiat CR.32 Freccia;Fiat CR. 32 Freccia;;Fiat CR.32 Freccia;;;;;;;;;x
AUS_tactical_bomber_0;Junkers Ju-86;Junkers Ju-86;Junkers Ju-86;;Junkers Ju-86;;;;;;;;;x
AUS_naval_bomber_0;Caproni Ca.111;Caproni Ca.111;Caproni Ca. 111;;Caproni Ca.111;;;;;;;;;x
AUS_cas_0;Breda Ba.28;Breda Ba.28;Breda Ba. 28;;Breda Ba.28;;;;;;;;;x
AUS_transport_plane_0;Caproni Ca.133;Caproni Ca.133;Caproni Ca. 133;;Caproni Ca.133;;;;;;;;;x
BEL_light_armor_brigade_0;Carden-Loyd M1933;Carden-Loyd M1933;Carden-Loyd M1933;;Carden-Loyd M1933;;;;;;;;;x
BEL_light_armor_brigade_1;T-13;T-13;T-13;;T-13;;;;;;;;;x
BEL_light_armor_brigade_2;ACG-1;ACG-1;ACG-1;;ACG-1;;;;;;;;;x
BEL_armor_brigade_0;Renault FT-17;Renault FT-17;Renault FT-17;;Renault FT-17;;;;;;;;;x
BEL_armor_brigade_1;Renault R35;Renault R35;Renault R35;;Renault R35;;;;;;;;;x
BEL_armor_brigade_2;Mk.VI A15 Crusader;Mk.VI A15 Crusader;Mk. VI A15 Crusader;;Mk.VI A15 Crusader;;;;;;;;;x
BEL_armor_brigade_3;M4A1 Sherman;M4A1 Sherman;M4A1 Sherman;;M4A1 Sherman;;;;;;;;;x
BEL_armor_brigade_4;M4/E8 Sherman;M4/E8 Sherman;M4/E8 Sherman;;M4/E8 Sherman;;;;;;;;;x
BEL_armor_brigade_5;M26 Pershing;M26 Pershing;M26 Pershing;;M26 Pershing;;;;;;;;;x
BEL_interceptor_0;SABCA Fox VI;SABCA Fox VI;SABCA Fox VI;;SABCA Fox VI;;;;;;;;;x
BEL_interceptor_1;Renard R.36;Renard R.36;Renard R. 36;;Renard R.36;;;;;;;;;x
BEL_interceptor_2;Renard R-40;Renard R-40;Renard R-40;;Renard R-40;;;;;;;;;x
BEL_naval_bomber_0;SABCA S.47;SABCA S.47;SABCA S. 47;;SABCA S.47;;;;;;;;;x
BEL_cas_0;SABCA Battle;SABCA Battle;SABCA Battle;;SABCA Battle;;;;;;;;;x
BOL_light_armor_brigade_0;CV-33;CV-33;CV-33;;CV-33;;;;;;;;;x
BOL_light_armor_brigade_1;M2A4;M2A4;M2A4;;M2A4;;;;;;;;;x
BOL_light_armor_brigade_2;M5 Stuart;M5 Stuart;M5 Stuart;;M5 Stuart;;;;;;;;;x
