national_socialist_AFG;Afghan Nationalist Party;Parti nationaliste afghan;Nationalistische Partei Afghanistans;;Partido Nacionalista Afgano;;;;;;;;;;x;
fascistic_AFG;Afghan Fascist League;Ligue fasciste afghane;Faschistische Liga Afghanistan;;Liga Fascista Afgana;;;;;;;;;;x;
paternal_autocrat_AFG;National Revolutionary Party;Parti national révolutionnaire;Nationale Revolutionspartei;;Partido Revolucionario Nacional;;;;;;;;;;x;
social_conservative_AFG;Afghan Conservative Party;Parti conservateur afghan;Konservative Partei Afghanistans;;Partido Conservador Afgano;;;;;;;;;;x;
market_liberal_AFG;Afghan Liberal Party;Parti libéral afghan;Liberale Partei Afghanistans;;Partido Liberal Afgano;;;;;;;;;;x;
social_liberal_AFG;NCPA;NCPA;NCPA;;NCPA;;;;;;;;;;x;
social_democrat_AFG;Afghan Social Democratic Party;Parti social démocratique afghan;Sozialdemokratische Partei Afghanistans;;Partido Socialdemócrata Afgano;;;;;;;;;;x;
left_wing_radical_AFG;RGPA;RGPA;RGPA;;RGPA;;;;;;;;;;x;
leninist_AFG;PDPA;PDPA;PDPA;;PDPA;;;;;;;;;;x;
stalinist_AFG;Communist Party of Afghanistan;Parti communiste afghan;Kommunistische Partei Afghanistans;;Partido Comunista de Afganistán;;;;;;;;;;x;
national_socialist_ALB;PNSh;PNSh;PNSh;;PNSh;;;;;;;;;;x;
fascistic_ALB;PFSh;PFSh;PFSh;;PFSh;;;;;;;;;;x;
paternal_autocrat_ALB;PMSh;PMSh;PMSh;;PMSh;;;;;;;;;;x;
social_conservative_ALB;PBKSh;PBKSh;PBKSh;;PBKSh;;;;;;;;;;x;
market_liberal_ALB;PRSh;PRSh;PRSh;;PRSh;;;;;;;;;;x;
social_liberal_ALB;PDSh;PDSh;PDSh;;PDSh;;;;;;;;;;x;
social_democrat_ALB;PSSh;PSSh;PSSh;;PSSh;;;;;;;;;;x;
left_wing_radical_ALB;PLPSh;PLPSh;PLPSh;;PLPSh;;;;;;;;;;x;
leninist_ALB;PKSh;PKSh;PKSh;;PKSh;;;;;;;;;;x;
stalinist_ALB;PPSh;PPSh;PPSh;;PPSh;;;;;;;;;;x;
national_socialist_ARG;Movimiento Nacional Socialista;Movimiento Nacional Socialista;Movimiento Nacional Socialista;;Movimiento Nacionalsocialista;;;;;;;;;;x;
fascistic_ARG;Frente Justicialista;Frente Justicialista;Frente Justicialista;;Frente Justicialista;;;;;;;;;;x;
