POS_STACK_PENALTY;Each point of hull size above §Y$MAX$§W gives a penalty of §R$EACH$§W% on Positioning. This fleet has a total penalty of §R$TOTAL$§W%;;Jeder Punkt an Rumpfgröße über §Y$MAX$§W führt zu einem Malus von §R$EACH$§W% auf die Positionierung. Diese Flotte hat einen Gesamtmalus von §R$TOTAL$§W%;;Cada punto de tamaño de casco por encima de §Y$MAX$§W acarrea una penalización de §R$EACH$§W% en Posicionamiento. Esta flota tiene una penalización total de §R$TOTAL$§W%;;;;;;;;;x
EFF_POS;Effective Positioning;;Effektive Positionierung;;Posicionamiento efectivo;;;;;;;;;x
LEADER_POSITIONING;Positioning Bonus;;Positionierungsbonus;;Bonificación al Posicionamiento;;;;;;;;;x
FLEET_POSITIONING;Effective Positioning of Fleet. A low percentage makes it less likely to hit the right targets. Individual ships may get higher positioning due to improved doctrines.;;Effektife Positionierung der Flotte. Ein geringer Prozentsatz verringert die Wahrscheindlichkeit, die korrekten Ziele zu treffen. Einzelne Schiffe können höhere Positionierung aufgrund von verbesserten Doktrinen erhalten.;;Posicionamiento efectivo de la flota. Un porcentaje bajo reduce la posibilidad de alcanzar a los objetivos correctos. Los barcos individuales pueden conseguir un Posicionamiento superior con mejores doctrinas.;;;;;;;;;x
UW_EDIT_THEATRE;Edit Theatre;;Frontabschnitt ändern;;Editar teatro;;;;;;;;;x
UW_EDIT_THEATRE_DRO;Select provinces that should belong to this theatre.;;Provinzen auswählen, die zu diesem Frontabschnitt gehören sollen.;;Elige las provincias que pertenecerán a este teatro.;;;;;;;;;x
STANCE_AIR_PREPARE;Air Prepare;;Luftvorbereitung;;Preparación aérea;;;;;;;;;x
STANCE_AIR_PREPARE_DESC;Our air units will only rebase and reorganize in this stance.;;Unsere Lufteinheiten werden in dieser Haltung nur verlegt und reorganisiert.;;Con esta actitud, nuestras unidades aéreas solo cambiarán de base y se reorganizarán.;;;;;;;;;x
STANCE_AIR_DEFEND;Air Defensive;;Luftverteidigung;;Defensa aérea;;;;;;;;;x
STANCE_AIR_DEFEND_DESC;Our air units will rebase, reorganize, and perform intercept missions.;;Unsere Lufteinheiten werden verlegt, reorganisiert sowie Abfangmissionen fliegen.;;Nuestras unidades aéreas cambiarán de base, se reorganizarán y realizarán misiones de interceptación.;;;;;;;;;x
STANCE_AIR_ATTACK;Air Offensive;;Luftoffensive;;Ofensiva aérea;;;;;;;;;x
STANCE_AIR_ATTACK_DESC;Our air units will perform the full range of missions.;;Unsere Lufteinheiten werden alle Missionen fliegen.;;Nuestras unidades aéreas realizarán todo tipo de misiones.;;;;;;;;;x
STANCE_NAVAL_PREPARE;Naval Prepare;;Seevorbereitung;;Preparación naval;;;;;;;;;x
STANCE_NAVAL_PREPARE_DESC;Our fleets will only rebase and reorganize in this stance.;;Unsere Flotten werden in dieser Haltung nur verlegt und reorganisiert.;;Con esta actitud, nuestras flotas solo cambiarán de base y se reorganizarán.;;;;;;;;;x
STANCE_NAVAL_DEFEND;Naval Defensive;;Seeverteidigung;;Defensa aérea;;;;;;;;;x
STANCE_NAVAL_DEFEND_DESC;Our fleets will rebase, reorganize, and defend our coasts.;;Unsere Flotten werden verlegt, reorganisiert sowie unsere Küsten verteidigen.;;Nuestras flotas cambiarán de base, se reorganizarán y defenderán nuestras costas.;;;;;;;;;x
STANCE_NAVAL_ATTACK;Naval Offensive;;Seeoffensive;;Ofensiva naval;;;;;;;;;x
STANCE_NAVAL_ATTACK_DESC;Our fleets will perform the full range of missions.;;Unsere Flotten werden alle Missionen ausführen.;;Nuestras flotas realizarán todo tipo de misiones.;;;;;;;;;x
ALLOW_HQ_REORG;Allow AI Unit Reorganization;;AI Einheitenreorganisation erlauben;;Permitir reorganización de unidad IA;;;;;;;;;x
LAST_BATTLE_WINNER_LOSSES_LESS;Winner Losses less than ;;Siegerverluste weniger als;;El ganador pierde más de ;;;;;;;;;x
LAST_BATTLE_WINNER_LOSSES_MORE;Winner Losses at least ;;Siegerverluste zumindest;;El ganador pierde al menos ;;;;;;;;;x
LAST_BATTLE_LOSER_LOSSES_LESS;Loser Losses less than ;;Verliererverluste weniger als;;El perdedor pierde menos de ;;;;;;;;;x
LAST_BATTLE_LOSER_LOSSES_MORE;Loser Losses at least ;;Verliererverluste zumindest;;El perdedor pierde al menos ;;;;;;;;;x
LAST_AIR_BATTLE_WINNER_LOSSES_LESS;Winner Air Losses less than ;;Sieger Fliegerverluste weniger als;;El ganador pierde (pérdidas aéreas) más de ;;;;;;;;;x
LAST_AIR_BATTLE_WINNER_LOSSES_MORE;Winner Air Losses at least ;;SiegerFliegerverluste zumindest;;El ganador pierde (pérdidas aéreas) al menos ;;;;;;;;;x
LAST_AIR_BATTLE_LOSER_LOSSES_LESS;Loser Air Losses less than ;;Verlierer Fliegerverluste weniger als;;El perdedor pierde (pérdidas aéreas) menos de ;;;;;;;;;x
LAST_AIR_BATTLE_LOSER_LOSSES_MORE;Loser Air Losses at least ;;Verlierer Fliegerverluste zumindest;;El perdedor pierde (pérdidas aéreas) al menos ;;;;;;;;;x
LAST_NAVAL_BATTLE_WINNER_LOSSES_LESS;Winner Ships Lost less than ;;Sieger Schiffsverluste weniger als;;El ganador pierde (barcos) menos de ;;;;;;;;;x
LAST_NAVAL_BATTLE_WINNER_LOSSES_MORE;Winner Ships Lost at least ;;Sieger Schiffsverluste zumindest;;El ganador pierde (barcos) al menos ;;;;;;;;;x
LAST_NAVAL_BATTLE_LOSER_LOSSES_LESS;Loser Ships Lost less than ;;Verlierer Schiffsverluste weniger als;;El perdedor pierde (barcos) menos de ;;;;;;;;;x
LAST_NAVAL_BATTLE_LOSER_LOSSES_MORE;Loser Ships Lost at least ;;Verlierer Schiffsverluste zumindest;;El perdedor pierde (barcos) al menos ;;;;;;;;;x
OUT_OF_SUPPLY_DAYS_LESS;Out of Supply for less than ;;Nicht versorgt für weniger als;;Suministros agotados durante menos de ;;;;;;;;;x
OUT_OF_SUPPLY_DAYS_MORE;Out of Supply for at least ;;Nicht versorgt für zumindest;;Suministros agotados durante al menos ;;;;;;;;;x
STANCE_WITHDRAW;Withdraw Stance;;Haltung: Zurückziehen;;Retirar actitud;;;;;;;;;x
STANCE_WITHDRAW_DESC;Our units will withdraw from untenable positions and attempt to shorten and consolidate the front. Units will not attack.;;Unsere Einheiten werden sich aus nicht zu haltenden Gebieten zurückziehen und versuchen, die Front zu verkürzen und zu verstärken. Einheiten werden nicht angreiffen.;;Nuestras unidades se retirarán de posiciones inaccesibles y tratarán de reducir y consolidar nuestro frente. Las unidades no atacarán.;;;;;;;;;x
OOB_COLLAPSE_ALL;Collapse All;;Alle Schließen;;Colapsar todo;;;;;;;;;x
OOB_GO_TO_SELECTED;Go To Selected;;Zur Auswahl gehen;;Ir a seleccionado;;;;;;;;;x
ATTACK_ON_THE_WEST_NAME;Attack on the West;;Angriff im Westen;;Ataque en el oeste;;;;;;;;;x
ATTACK_ON_THE_WEST_DESC;The phoney war was over, Chamberlain had been so confident he had boasted a month earlier that ‘He [Hitler] had missed the bus”, but he hadn’t. The German Panzer troops was poised on the border of the Low Countries, ready to unleash the blitzkrieg on an unprepared France. All that would be left would be blood, toil, tears and sweat.;;Der Sitzkrieg war vorbei, Chamberlain war so selbstsicher, dass er einen Monat zuvor hinausposaunt hatte, dass 'Er [Hitler] den Bus verpasst hat”, aber das hatte er nicht. Die Deutschen Panzerfahrer standen an den Grenzen der Beneluxländer bereit, bereit um einen Blitzkrieg zu entfachen gegen ein unvorbereitetes Frankreich. Alles, was bleiben würde, war Blut, Arbeit, Tränen und Schweiß.';;"La falsa guerra había terminado. Chamberlain estaba tan confiado que había afirmado con suficiencia que "[Hitler] ha perdido el autobús”, pero no era así. Las unidades panzer alemanas estaban situadas en la frontera de los Países Bajos, listas para desencadenar una guerra relámpago sobre una desprevenida Francia. Lo único que dejarían a su paso sería sangre, lágrimas y sudor.";;;;;;;;;x
VC_BUTTON_DISABLED_SAVE;Cannot reselect victory conditions when loading a saved game.;;Beim Laden eines Spielstandes kann man keine Siegbedingungen auswählen;;No se pueden elegir de nuevo las condiciones de victoria al cargar una partida guardada.;;;;;;;;;x
VC_BUTTON_DISABLED_INVALID;Only countries that are faction leaders can select victory conditions.;;Nur Länder die Faktionsanführer sind können Siegbedingungen auswählen;;Solo los líderes de facción pueden elegir las condiciones de victoria.;;;;;;;;;x
VC_ACCEPT_DISABLED;§R$NUM$§W conditions selected, will randomly add/remove to §Y$TOTAL$§W.;;§R$NUM$§W Bedingungen ausgewählt, sie brauchen genau §Y$TOTAL$§W.;;§R$NUM$§W condiciones elegidas, tienes que elegir exactamente §Y$TOTAL$§W.;;;;;;;;;x
VC_ACCEPT;Accept;;Annehmen;;Aceptar;;;;;;;;;x
VC_CANCEL;Cancel;;Abbrechen;;Cancelar;;;;;;;;;x
VC_VICTORY_CONDITIONS;Victory Conditions;;Siegbedingungen;;Condiciones de victoria;;;;;;;;;x
VC_ALLIES;Allies;;Alliierte;;Aliados;;;;;;;;;x
VC_AXIS;Axis;;Achse;;El Eje;;;;;;;;;x
VC_COMINTERN;Comintern;;Komintern;;Comintern;;;;;;;;;x
VC_YOU_ARE_NOT_PART_OF_ANY_FACTION;You are not part of any faction;;Ihr seit kein Mitglied einer Faktion;;No formas parte de mi facción;;;;;;;;;x
FE_VICTORYCONDITIONS;Victory Conditions;;Siegbedingungen;;Condiciones de victoria;;;;;;;;;x
OOB_LABEL;$COUNTRY_ADJ$ Order of Battle;;$COUNTRY_ADJ$ Schlachtordnung;;Orden de batalla $COUNTRY_ADJ$;;;;;;;;;x
MODIFIERS_ACHIEVMENTS;Strategic Effects;;Errungenschaften;;Efectos estratégicos;;;;;;;;;x
##################################################;;;##################################################;;;;;;;;;;;x
# Events ;;;# Ereignisse;;;;;;;;;;;x
##################################################;;;##################################################;;;;;;;;;;;x
EVTNAME600;Victorious Battle of the Bzura;;Siegreiche Schlacht an der Bzura;;Batalla del Bzura (victoria);;;;;;;;;x
