CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
reoccupation_of_the_rhineland_title;Re-occupation of the Rhineland;Réoccupation de la Rhénanie;Wiederbesetzung des Rheinlands;;La reocupación de la Renania;;;;;;;;;x
reoccupation_of_the_rhineland_desc;Once the home front was secured, Hitler turned his attention to foreign policy with four increasingly daring acts. On the 16th of March 1935, the treaty of Versailles was violated by Germany as military conscription was reintroduced (the treaty stated that the German Army should not exceed 100.000 men). When nothing more than official protests from England and France ensued, Hitler proceeded a year later (7th March 1936) to occupy the demilitarised Rhineland, again violating the Versailles treaty.;Une fois les conflits internes réglés en sa faveur, Hitler se tourne vers la politique étrangère, ne reculant devant aucune audace. Le 16 mars 1935, l'Allemagne viole ouvertement le traité de Versailles en réintroduisant la conscription militaire (le traité limitait la taille de l'armée allemande à 100 000 hommes). Le manque de réaction de la France et de l'Angleterre qui s'en tiennent à des protestations diplomatiques mène Hitler à aller encore plus loin en réoccupant un an plus tard, le 7 mars 1936, la Rhénanie démilitarisée, violant ainsi à nouveau le Traité de Versailles.;Nachdem die Heimatfront gesichert war, wandte sich Hitler mit vier zunehmend wagemutigen Handlungen der Außenpolitik zu: Am 16. März 1935 verletzte Deutschland durch die Wiedereinführung der Wehrpflicht die Statuten des Versailler Vertrags (der die Größe der deutschen Armee auf maximal 100.000 Mann festgelegte). Als außer offiziellen Protesten aus England und Frankreich Konsequenzen darauf ausblieben, ging Hitler am 7. März 1936 mit der Wiederbesetzung des demilitarisierten Rheinlands noch einen Schritt weiter und verletzte den Versailler Vertrag ein weiteres Mal.;;Una vez asegurado el frente interno, Hitler volvió su atención a la política exterior con cuatro acciones, cada una más osada que la anterior. El 7 de marzo de 1935, Alemania violó el Tratado de Versalles al reintroducir el servicio militar obligatorio (según los términos del tratado, el ejército alemán no podía exceder los 100.000 hombres). Cuando la única consecuencia fue las protestas oficiales de Inglaterra y Francia, un año después (el 7 de marzo de 1936), Hitler procedió a ocupar la desmilitarizada Renania, violando de nuevo el Tratado de Versalles.;;;;;;;;;x
anschluss_of_austria_title;Anschluss of Austria;Anschluss de l'Autriche;Der Anschluss Österreichs;;Anschluss' de Austria;;;;;;;;;x
anschluss_of_austria_desc;Demands for the union (Anschluss) of Austria and Germany increased after Adolf Hitler became German Chancellor. In February,1938, Hitler invited Kurt von Schuschnigg, the Austrian Chancellor, to meet him at Berchtesgarden. Hitler demanded concessions for the Austrian Nazi Party. Schuschnigg refused and on 9th March 1938, the Austrian Chancellor announced a plebiscite on the independence of Austria. Adolf Hitler took this as an opportunity to take action against the Austrian State. Schuschnigg was pressed to resign. The National Socialist Arthur Seyss-Inquart took over the chancellorship and formed a new government. The Austrian National Socialists took power in Austria. On the morning of 12th March 1938, troops of the German Wehrmacht and the SS crossed the German-Austrian border. On 13th March 1938, Hitler announced in Linz the legislation on the 'Anschluss' (Annexation) of Austria into the German Reich.;Les voix en faveur de l'unification (Anschluss) de l'Autriche et de l'Allemagne se font plus pressantes après la nomination d'Adolf Hitler comme chancelier allemand. En février 1938, Hitler convie Kurt von Schuschnigg, le chancelier autrichien, à une rencontre à Berchtesgaden. Hitler exige des mesures en faveur du Parti Nazi Autrichien. Schuschnigg refuse et le 9 mars 1938, il annonce la tenue d'un référendum sur l'indépendance de l'Autriche. Adolf Hitler saisit ce prétexte pour agir ouvertement contre l'État autrichien. Schuschnigg est contraint à démissionner. Le national socialiste Arthur Seyss-Inquart devient chancelier et forme un nouveau gouvernement. Les nazis autrichiens détiennent tous les pouvoirs en Autriche. Au petit matin du 12 mars 1938, les troupes de la Wehrmacht allemande et des SS franchissent la frontière germano-autrichienne. Le 13 mars 1938, Hitler proclame à Linz le rattachement (Anschluss) de l'Autriche au Reich allemand.;Nachdem Adolf Hitler deutscher Reichskanzler geworden war, nahmen die Forderungen nach dem Anschluss Österreichs an das Deutsche Reich zu. Im Februar 1938 lud Hitler den österreichischen Kanzler Kurt von Schuschnigg nach Berchtesgaden ein. Hitler verlangte Zugeständnisse für die österreichische Nazi-Partei, die Schuschnigg ausschlug und stattdessen am 9. März 1938 eine Volksabstimmung über die Unabhängigkeit Österreichs ankündigte. Dies nahm Adolf Hitler als Gelegenheit, gegen den österreichischen Staat vorzugehen und zwang Schuschnigg zum Rücktritt. Daraufhin übernahm der Nationalsozialist Arthur Seyss-Inquart das Kanzleramt und bildete eine neue, nationalsozialistische Regierung. Am 12. März 1938 überquerten Truppen der Wehrmacht und der SS die Grenze zu Österreich. Einen Tag später erklärte Hitler in Linz den rechtmäßigen Anschluss Österreichs ans Deutsche Reich.;;Las exigencias de la anexión (Anschluss) de Austria por parte de Alemania aumentaron después de que Adolf Hitler pasase a ser canciller de ésta. En febrero de 1938, Hitler invitó al canciller austriaco, Kurt von Schuschnigg, a reunirse con él en Berchtesgaden. Hitler le exigió concesiones para el partido nazi de Austria. Schuschnigg se las denegó y, el 9 de marzo de 1938, el canciller austriaco anunció un plebiscito sobre la independencia de Austria. Adolf Hitler se tomó esto como una oportunidad para emprender acciones contra el estado austriaco. Schuschnigg fue obligado a dimitir. El nacionalsocialista Arthur Seyss-Inquart pasó a ocupar el cargo de canciller y formó un nuevo gobierno. El partido nacionalsocialista austriaco llegó al poder en Austria. La mañana del 12 de marzo de 1938, las tropas alemanas de la Wehrmacht y las SS cruzaron la frontera germano-austriaca. El 13 de marzo de 1938, Hitler anunció en Linz la legislación de la 'Anschluss' (anexión) de Austria con el Reich alemán.;;;;;;;;;x
the_treaty_of_munich_title;The Treaty of Munich;Les Accords de Munich;Das Münchner Abkommen;;Los Acuerdos de Munich;;;;;;;;;x
the_treaty_of_munich_desc;During the summer of 1938 the pro-Nazi elements among the Czech Germans demanded the right to secede from Czechoslovakia, a move that created enormous tension between Germany and Czechoslovakia. Hitler, using the minority sentiments in the Sudetenland, started to propagandize about ‘Czech Atrocities’ against ethnic Germans in an effort to lay the blame of a future conflict on the Czech government. At the same time as German troops infiltrated the Bohemian borderlands Hitler agreed to host a Peace Conference in Munich. Hitler, Chamberlain, Daladier, and Mussolini met and agreed that Hitler should have the Sudetenland of Czechoslovakia. The Czechs, who were not represented at the meeting, realised that their own allies were deserting them and under the pressure from the French and British they were forced to surrender the Sudetenland to Germany. Hitler assured those at the meeting that this was the extent of his ambitions for expansion. Chamberlain returned to England with a piece of paper signed by Hitler, proclaiming 'peace in our time.;"Au cours de l'été 1938, les éléments pro nazis de la minorité allemande de Tchécoslovaquie exigent le rattachement de leurs régions à l'Allemagne, ce qui crée d'importantes tensions entre l'Allemagne et la Tchécoslovaquie. Hitler, jouant sur les ressentiments de la minorité sudète, lance une vaste opération de propagande dénonçant les 'Atrocités tchécoslovaques' contre la minorité allemande, afin de pouvoir faire porter le chapeau au gouvernement tchécoslovaque dans le cas d'un conflit ultérieur. Alors que des troupes allemandes infiltrent les régions frontalières de Bohème, Hitler accepte d'organiser une conférence de paix à Munich. Hitler, Chamberlain, Daladier et Mussolini y participent et conviennent de l'annexion des Sudètes par Hitler. Les Tchécoslovaques, qui n'ont pas participé à la conférence, réalisent que leurs alliés les abandonnent et qu'ils sont, soumis à la pression de la France et de l'Angleterre, forcés de livrer les Sudètes à l'Allemagne. Hitler garantit aux autres nations que ses ambitions expansionnistes n'iront pas au-delà. Chamberlain revient en Angleterre avec un document ratifié par Hitler, proclamant la ""paix pour notre époque""...";Während des Sommers von 1938 forderten die nationalsozialistisch Gesinnten unter der deutschen Minderheit in der Tschechoslowakei das Recht zur Abspaltung, was zwischen Deutschland und der Tschechoslowakei zu enormen Spannungen führte. Hitler machte sich diese Ansichten mancher Sudetendeutschen zunutze und startete einen Propagandafeldzug gegen vermeintliche tschechische Gräueltaten gegen Volksdeutsche, um die Schuld für einen zukünftigen Konflikt der tschechischen Regierung in die Schuhe zu schieben. Zur gleichen Zeit, als deutsche Truppen das böhmische Grenzland infiltrierten, stimmte Hitler einer Friedenskonferenz in München zu. Dort trafen sich Chamberlain, Daladier, Mussolini und Hitler und beschlossen die Abtretung des Sudetenlands an Deutschland. Die Tschechen, die nicht an der Konferenz teilnahmen, bemerkten wohl, dass sie von ihren Alliierten im Stich gelassen wurden, mussten das Sudetenland jedoch unter französischem und britischem Druck hergeben. Hitler erklärte den Teilnehmern der Friedenskonferenz, dass seine Expansionsbestrebungen mit dem Zugewinn des Sudetenlands nun abgeschlossen seien. Chamberlain kehrte mit einem von Hitler unterzeichneten Dokument nach England zurück, das den 'Frieden in unserer Zeit' sichern zu schien ...;;Durante el verano de 1938, los elementos pronazis entre los checos alemanes exigieron el derecho a separarse de Checoslovaquia, acción que creó una enorme tensión entre este país y Alemania. Hitler, utilizando los sentimientos de la minoría en los Sudetes, comenzó a lanzar propaganda sobre las 'atrocidades checas' contra los miembros de la etnia alemana, con el propósito de culpar al gobierno checo de un futuro conflicto. Al mismo tiempo que las tropas alemanas se infiltraban por la frontera de Bohemia, Hitler aceptó celebrar una Conferencia de Paz en Munich. Hitler, Chamberlain, Daladier y Mussolini se reunieron y aceptaron que Hitler se quedase con los Sudetes en Checoslovaquia. Los checos, que no estaban representados en la conferencia, comprendieron que sus propios aliados les abandonaban y, ante la presión de franceses y británicos, fueron obligados a entregar los Sudetes a Alemania. Hitler aseguró a los asistentes a la conferencia que con esto se acababan sus ambiciones expansionistas. Chamberlain regresó a Inglaterra con un papel firmado por Hitler, proclamando la 'paz de nuestra época'.;;;;;;;;;x
first_vienna_award_title;The First Vienna Award;Le premier Arbitrage de Vienne;Erster Wiener Schiedsspruch;;Primer arbitraje de Viena;;;;;;;;;x
