tut_menu_1;Basic Concepts;Concepts de base;Grundkonzepte;;Básico;;;;;;;;;x
tut_menu_1_description;You will be guided through the basics concepts of Hearts of Iron 3 by an expert;Un expert va vous guider à travers les concepts de base de Hearts of Iron 3.;Die Grundlagen - ein Experte wird Sie durch die grundlegenden Konzepte in Hearts of Iron 3 führen.;;Lo más básico. Un paseo guiado por los conceptos básicos de Hearts of Iron 3 de la mano de un experto.;;;;;;;;;x
tut_menu_2;Diplomacy;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
tut_menu_2_description;Want to win friends and influence people, or just start wars? Our expert is on hand to help you.;Initiez vous à l'art de la diplomatie et des relations internationales.;Wollen Sie sich Freunde schaffen und Nationen beeinflussen, oder einfach nur Kriege anzetteln?;;Ganar amigos, influenciar al pueblo o simplemente iniciar guerras. Nuestro experto te ayudará.;;;;;;;;;x
tut_menu_3;Production;Production;Produktion;;Producción;;;;;;;;;x
tut_menu_3_description;The sinews of war, very important to know and our expert is ready to guide you.;C'est le pilier de la guerre, très importante à maîtriser et notre expert est prêt à vous guider.;Die Zahnräder des Krieges, die man kennen muss! Unser Experte ist bereit, Sie damit bekannt zu machen.;;Los entresijos de la guerra, algo muy importante y en lo que nuestro experto estará encantado de guiarte.;;;;;;;;;x
tut_menu_4;Technology;Technologie;Technologie;;Tecnología;;;;;;;;;x
tut_menu_4_description;Where a war can be won and lost. God is on the side of the best battalions, not the big ones.;Une guerre se gagne ou se perd ainsi. Dieu est du côté des meilleurs.;Hiermit werden Kriege gewonnen oder verloren. Qualität statt Quantität.;;Donde se puede ganar o perder una guerra. Dios está de parte de los mejores batallones.;;;;;;;;;x
tut_menu_5;Politics;Politique;Politik;;Política;;;;;;;;;x
tut_menu_5_description;If you want to win wars, never forget about the home front. Our expert understands this.;Si vous voulez remporter des guerres, n'oubliez jamais votre pays. Notre expert s'y connaît.;Wenn Sie Kriege gewinnen wollen, dürfen Sie nie die Heimatfront vergessen. Unser Experte versteht das.;;Si quieres ganar guerras, no puedes olvidarte de lo que sucede en casa.;;;;;;;;;x
tut_menu_6;Intelligence;Espionnage;Aufklärung;;Inteligencia;;;;;;;;;x
tut_menu_6_description;Knowledge is power! Don't forget this.;L'information, c'est le pouvoir ! Ne l'oubliez pas.;Nie vergessen  - Wissen ist Macht!;;¡El conocimiento es poder! No lo olvides.;;;;;;;;;x
tut_1a_1;Welcome to Hearts of Iron III!;Bienvenue dans Hearts of Iron III !;Willkommen bei Hearts of Iron III!;;Bienvenido a Hearts of Iron III;;;;;;;;;x
