##################################################;;;;;;;;;;;;;;x,,
# Leader Ranks;;;;;;;;;;;;;;x,,
##################################################;;;;;;;;;;;;;;x,,
INACTIVE;(inactive);(inactif);(inaktiv);;(inactivo);;;;;;;;;x,,
LAND_RANK1;Maj. General;Général de division;Generalmajor;;Capitán General;;;;;;;;;x,,
LAND_RANK2;Lt. General;Général de corps d'armée;Generalleutnant;;Teniente General;;;;;;;;;x,,
LAND_RANK3;General;Général d'armée;General;;General;;;;;;;;;x,,
LAND_RANK4;Field Marshal;Maréchal;Feldmarschall;;Mariscal campo;;;;;;;;;x,,
SEA_RANK1;Commander;Commandant;Kommandant;;Comandante;;;;;;;;;x,,
SEA_RANK2;Rear Admiral;Contre-amiral;Konteradmiral;;Contralmirante;;;;;;;;;x,,
SEA_RANK3;Vice Admiral;Vice amiral;Vizeadmiral;;Vicealmirante;;;;;;;;;x,,
SEA_RANK4;Admiral;Amiral;Admiral;;Almirante;;;;;;;;;x,,
AIR_RANK1;Maj. General;Général de division aérienne;Generalmajor;;Capitán General;;;;;;;;;x,,
AIR_RANK2;Lt. General;Général de corps d'armée aérien;Generalleutnant;;Teniente General;;;;;;;;;x,,
AIR_RANK3;Air General;Général d'armée aérienne;Luftwaffengeneral;;General aire;;;;;;;;;x,,
AIR_RANK4;Air Marshal;Maréchal de l'armée de l'air;Luftmarschall;;Mariscal del aire;;;;;;;;;x,,
LEADER_SKILL;Skill;Compétence;Fähigkeit;;Hab.;;;;;;;;;x,,
LEADER_XP;Experience;Expérience;Erfahrung;;Experiencia;;;;;;;;;x,,
######################################;;;;;;;;;;;;;;x,,
# Trait Names;;;;;;;;;;;;;;x,,
######################################;;;;;;;;;;;;;;x,,
old_guard;Old Guard;Vieille garde;Alte Garde;;Vieja guardia;;;;;;;;;x,,
trickster;Trickster;Roublard;Schlitzohr;;Exp. ardides;;;;;;;;;x,,
logistics_wizard;Logistics Wizard;Génie de la logistique;Logistikgenie;;Mago logística;;;;;;;;;x,,
defensive_doctrine;Defensive Doctrine;Doctrine défensive;Defensivdoktrin;;Doctrina defensa;;;;;;;;;x,,
offensive_doctrine;Offensive Doctrine;Doctrine offensive;Offensivdoktrin;;Doctrina ofensiva;;;;;;;;;x,,
winter_specialist;Winter Specialist;Spécialiste de l'hiver;Winterspezialist;;Espec. invierno;;;;;;;;;x,,
engineer;Engineer;Ingénieur;Pionier;;Ingeniero;;;;;;;;;x,,
fortress_buster;Fortress Buster;Destructeur de forteresse;Festungsknacker;;Exp. pl. fuertes;;;;;;;;;x,,
panzer_leader;Panzer Leader;Expert en blindés;Panzerkommandeur;;Líder panzers;;;;;;;;;x,,
commando;Commando;Commando;Kommando;;Comando;;;;;;;;;x,,
desert_fox;Desert Fox;Renard du désert;Wüstenfuchs;;Zorro del desierto;;;;;;;;;x,,
jungle_expert;Jungle Expert;Expert de la jungle;Dschungelexperte;;Especialista en jungla;;;;;;;;;x,,
urban_fighter;Urban Fighter;Combattant urbain;Häuserkämpfer;;Especialista urbano;;;;;;;;;x,,
forest_fighter;Forest Fighter;Combattant des forêts;Waldkämpfer;;Especialista en bosque;;;;;;;;;x,,
mountain_expert;Mountain Expert;Expert alpin;Bergexperte;;Especialista en montaña;;;;;;;;;x,,
hills_fighter;Hills Fighter;Combattant des collines;Hügelkämpfer;;Especialista en colinas;;;;;;;;;x,,
seawolf;Sea Wolf;Loup de mer;Seewolf;;Lobo de mar;;;;;;;;;x,,
blockade_runner;Blockade Runner;Briseur de blocus;Blockadebrecher;;Rompebloqueos;;;;;;;;;x,,
superior_tactician;Superior Tactician;Maître tacticien;Überragender Taktiker;;Táctico excepcional;;;;;;;;;x,,
spotter;Spotter;Éclaireur;Aufklärer;;Avistador;;;;;;;;;x,,
tank_buster;Tank Buster;Chasseur de chars;Panzerknacker;;Exp. contrac.;;;;;;;;;x,,
carpet_bomber;Carpet Bomber;Tapis de bombes;Flächenbomber;;Esp. bomb. alfombra;;;;;;;;;x,,
night_flyer;Night Flyer;Oiseau de nuit;Nachtflieger;;Piloto nocturno;;;;;;;;;x,,
fleet_destroyer;Fleet Destroyer;Destructeur de flotte;Flottenzerstörer;;Destructor flotas;;;;;;;;;x,,
##################################################;;;;;;;;;;;;;;x,,
# Unit Names;;;;;;;;;;;;;;x,,
##################################################;;;;;;;;;;;;;;x,,
infantry_brigade;Infantry;Infanterie;Infanterie;;Infantería;;;;;;;;;x,,
artillery_brigade;Artillery;Artillerie;Artillerie;;Artillería;;;;;;;;;x,,
battleship;Battleship;Cuirassé;Schlachtschiff;;Acorazado;;;;;;;;;x,,
armored_car_brigade;Armoured Car;Véhicule blindé;Panzerwagen;;Vehículo blindado;;;;;;;;;x,,
anti_tank_brigade;Anti-tank;Anti-char;Panzerabwehr;;Antitanque;;;;;;;;;x,,
flying_bomb;Flying Bomb;Bombe volante;Flugbombe;;Bomba vol.;;;;;;;;;x,,
armor_brigade;Armour;Blindé;Panzer;;Blindado;;;;;;;;;x,,
anti_air_brigade;Anti-aircraft;Antiaérien;Flugabwehr;;Antiaéreo;;;;;;;;;x,,
bergsjaeger_brigade;Mountain;Infanterie alpine;Gebirgsjäger;;De montaña;;;;;;;;;x,,
carrier;Carrier;Porte-avions;Träger;;Portaav.;;;;;;;;;x,,
cag;Carrier Air Group;Gr. aérien embarqué;CAG;;Grupo aéreo portaav.;;;;;;;;;x,,
cas;Close Air Support;Soutien aérien rappr.;CAS;;Apoyo aéreo de proximidad;;;;;;;;;x,,
destroyer;Destroyers;Destroyers;Zerstörer;;Destructores;;;;;;;;;x,,
escort_carrier;Escort Carrier;Porte-avi. d'escorte;Geleitflugzeugträger;;Portaaviones escolta;;;;;;;;;x,,
cavalry_brigade;Cavalry;Cavalerie;Kavallerie;;Caballería;;;;;;;;;x,,
engineer_brigade;Engineer;Ingénieur;Pionier;;Ingeniero;;;;;;;;;x,,
battlecruiser;Battlecruiser;Croiseur cuirassé;Schlachtkreuzer;;Crucero de batalla;;;;;;;;;x,,
flying_rocket;Flying Rocket;Fusée volante;Rakete;;Cohete volante;;;;;;;;;x,,
hq_brigade;HQ;QG;HQ;;EM;;;;;;;;;x,,
heavy_cruiser;Heavy Cruiser;Croiseur lourd;Schwerer Kreuzer;;Crucero pesado;;;;;;;;;x,,
light_armor_brigade;Light Armour;Blindé léger;Leichte Panzer;;Blindado ligero;;;;;;;;;x,,
mechanized_brigade;Mechanised;Mécanisée;Panzergrenadiere;;Mecanizado(a);;;;;;;;;x,,
motorized_brigade;Motorised;Motorisée;Infanterie (mot.);;Motorizada;;;;;;;;;x,,
militia_brigade;Militia;Milice;Miliz;;Milicia;;;;;;;;;x,,
multi_role;Multi-Role;Multirôle;Mehrzweckjäger;;Polivalente;;;;;;;;;x,,
light_cruiser;Light Cruiser;Croiseur léger;Leichter Kreuzer;;Crucero ligero;;;;;;;;;x,,
interceptor;Interceptor;Intercepteur;Abfangjäger;;Interceptor;;;;;;;;;x,,
rocket_interceptor;Rocket Interceptor;Intercepteur fusée;Raketen-Abfangjäger;;Interceptor de misiles;;;;;;;;;x,,
heavy_armor_brigade;Heavy Armour;Blindé lourd;Schwere Panzer;;Blindado pesado;;;;;;;;;x,,
garrison_brigade;Garrison;Garnison;Garnison;;Guarnición;;;;;;;;;x,,
naval_bomber;Naval Bomber;Bombardier naval;Marinebomber;;Bomb. naval;;;;;;;;;x,,
nuclear_submarine;Nuclear Submarine;Sous-marin nucléaire;Atom-U-Boot;;Submarino nuclear;;;;;;;;;x,,
police_brigade;Military Police;Police militaire;Militärpolizei;;Policía militar;;;;;;;;;x,,
paratrooper_brigade;Paratroopers;Para;Fallschirmjäger;;Paracaidistas;;;;;;;;;x,,
rocket_artillery_brigade;Rocket Artillery;Artillerie lance-roquettes;Raketenartillerie;;Artillería lanzacohetes;;;;;;;;;x,,
sp_rct_artillery_brigade;S-P Rocket Artillery;Artillerie lance-roquettes perce-blindage;SA-Raketenartillerie ;;Artillería de cohetes autopropulsada;;;;;;;;;x,,
submarine;Submarine;Sous-marin;U-Boot;;Submarino;;;;;;;;;x,,
super_heavy_armor_brigade;SH Armoured;Blindé super lourd;Superschwerer Panzer;;Blindado pesado;;;;;;;;;x,,
super_heavy_battleship;SH Battleship;Cuirassé sup. lourd;Superschweres Schlachtschiff;;Acorazado pesado;;;;;;;;;x,,
tactical_bomber;Tactical Bomber;Bombardier tac.;Taktischer Bomber;;Bombardero táctico;;;;;;;;;x,,
tank_destroyer_brigade;Tank Destroyer;Destruct. de chars;Jagdpanzer;;Cazacarros;;;;;;;;;x,,
transport_ship;Transport;Navire de transport;Transporter;;Transporte;;;;;;;;;x,,
strategic_bomber;Strategic Bomber;Bombardier stratégique;Strategischer Bomber;;Bombardero estratégico;;;;;;;;;x,,
sp_artillery_brigade;S-P Artillery;Artillerie perce-blindage;SA-Artillerie ;;Artillería autopropulsada;;;;;;;;;x,,
transport_plane;Transport Plane;Avion de transport;Transportflugzeug;;Avión de transporte;;;;;;;;;x,,
marine_brigade;Marine;Infanterie marine;Marineinfanterie;;De marina;;;;;;;;;x,,
marine_brigade_short;Mar;Inf. mar.;Mar;;Mar;;;;;;;;;x,,
infantry_brigade_short;Inf;Inf.;Inf;;Inf;;;;;;;;;x,,
artillery_brigade_short;Art;Art;Art;;Art;;;;;;;;;x,,
battleship_short;BB;Cuirassé;BB;;Aco;;;;;;;;;x,,
armored_car_brigade_short;AC;Crois.;PW;;Veh bli;;;;;;;;;x,,
anti_tank_brigade_short;AT;AC;PA;;ACa;;;;;;;;;x,,
flying_bomb_short;V1;V1;V1;;V1;;;;;;;;;x,,
armor_brigade_short;Arm;Blind.;Pz;;Bli;;;;;;;;;x,,
anti_air_brigade_short;AA;AA;Fla;;AA;;;;;;;;;x,,
bergsjaeger_brigade_short;Mtn;Inf. alp.;Geb;;Mon;;;;;;;;;x,,
carrier_short;CV;Parachut.;Trgr;;PAv;;;;;;;;;x,,
cag_short;CAG;GAE;CAG;;GAE;;;;;;;;;,,
cas_short;CAS;BEP;CAS;;AAP;;;;;;;;;x,,
destroyer_short;DD;Destr.;DD;;Des;;;;;;;;;x,,
escort_carrier_short;CVL;CVL;CVE;;Portaav L;;;;;;;;;x,,
cavalry_brigade_short;Cav;Cav;Kav;;Cab;;;;;;;;;x,,
engineer_brigade_short;Eng;Ingén.;Pio;;Ing;;;;;;;;;x,,
battlecruiser_short;BC;Croiseur cuir.;BC;;Cru Bat;;;;;;;;;x,,
flying_rocket_short;V2;V2;V2;;V2;;;;;;;;;x,,
